회사명,corp_eng_name,종목코드,is_defaulted
한전기술,"KEPCO Engineering & Construction Company, Inc",052690,0
한전KPS,"KEPCO Plant Service & Engineering Co., Ltd",051600,0
한일화학,"HANIL CHEMICAL IND. CO.,LTD",007770,0
한일홀딩스,"HANIL HOLDINGS CO.,LTD.",003300,0
한일현대시멘트,"HANIL HYUNDAI CEMENT CO.,LTD",006390,0
한일철강,"HANIL IRON & STEEL CO.,LTD",002220,0
한일약품공업,"HANIL PHARMACEUTICALIND CO.,LTD",003040,0
한일시멘트,"HANILCEMENTCO.,LTD.",300720,0
한일사료,HANIL FEED Co.Ltd,005860,0
한일단조,HanilForgingIndustrial,024740,0
한일네트웍스,"HANIL NETWORKS CO., LTD.",046110,0
한일건설,"HANIL ENGINEERING & CONSTRUCTION CO.,LTD.",006440,0
한익스프레스,"HAN EXPRESS CO.,LTD",014130,0
한울앤제주,"HanWool & Jeju, Inc.",276730,0
한울소재과학,"HanWool Materials Science, Inc.",091440,0
한울비앤씨,"HanulBnC CO.,LTD",214870,0
한울반도체,"HanWool Semiconductor, Inc.",320000,0
한와이어리스,"Hanwireless Co., Ltd.",037020,0
한올바이오파마,"HANALL BIOPHARMA CO.,LTD",009420,0
한온시스템,Hanon Systems,018880,0
한양증권,"HANYANG SECURITIES CO.,LTD",001750,0
한양이엔지,"HANYANG ENG CO.,LTD",045100,0
한양디지텍,"HANYANG DIGITECH CO.,LTD.",078350,0
한아시스템,"HANA SYSTEMS, INC",036020,0
한싹,"Hanssak Co., Ltd.",430690,0
한신코퍼레이션,HAHN SHIN CORPORATION,037120,0
한신기계공업,HANSHIN MACHINERY CO,011700,0
한신공영,"HANSHIN CONSTRUCTION CO.,LTD",004960,0
한스바이오메드,HANS BIOMED CORPORATION,042520,0
한송네오텍,"HANSONGNEOTECH CO.,LTD.",226440,0
한솔홈데코,"Hansol HomeDeco co.,ltd.",025750,0
한솔홀딩스,"Hansol Holdings Co., Ltd.",004150,0
한솔피엔에스,"HANSOL PNS CO.,LTD.",010420,0
한솔테크닉스,"Hansol Technics Co., Ltd",004710,0
한솔케미칼,"Hansol Chemical Co., Ltd",014680,0
한솔제지,"Hansol Paper Co., Ltd",213500,0
한솔인티큐브,"Hansol Inticube Co., Ltd.",070590,0
한솔아트원제지,"Hansol Artone Paper Co., Ltd.",007190,0
한솔아이원스,"Hansol IONES Co., Ltd.",114810,0
한솔로지스틱스,"Hansol Logistics CO., Ltd",009180,0
한세예스24홀딩스,"HANSAE YES24 HOLDINGS CO., LTD ",016450,0
한세엠케이,"HANSAEMK CO.,LTD.",069640,0
한세실업,"HANSAE CO.,LTD.",105630,0
한성크린텍,"HANSUNG CLEANTECH CO., LTD.",066980,0
한성기업,"HANSUNG ENTERPRISE CO.,LTD",003680,0
한섬,HANDSOME CORPORATION,020000,0
한선엔지니어링,"HANSUN ENGINEERING CO., LTD.",452280,0
한서제약,"HANSEOPHARM.CO.,LTD.",044070,0
한샘,"HANSSEM CO.,LTD.",009240,0
한빛소프트,HANBIT SOFT Inc.,047080,0
한빛레이저,HBL Corporation,452190,0
한빛네트,"HanbitNet, Inc.",036720,0
한미약품,"Hanmi Pharm. Co., Ltd.",128940,0
한미사이언스,"Hanmi Science Co.,Ltd",008930,0
한미반도체,"HANMI Semiconductor CO., LTD.",042700,0
한미글로벌,"HanmiGlobal Co., Ltd.",053690,0
한메엔에스,"HANME NS CO.,LTD",006150,0
한마음상호저축은행,HANMAUM MUTUAL SAVINGS BANK,025450,0
한림창업투자,Hallim Venture Capital,021060,0
한라IMS,"HANLA IMS Co., LTD",092460,0
한독크린텍,"Handok Clean Tech Co., Ltd.",256150,0
한독,HANDOK Inc.,002390,0
한도하이테크,"HANDO HI-TECH CO., LTD.",060660,0
한농화성,HANNONG CHEMICALS INC,011500,0
한네트,"HANNET CO., LTD.",052600,0
한글과컴퓨터,HANCOM INC.,030520,0
한국화장품제조,"HANKOOK COSMETICS MANUFACTURING CO.,LTD",003350,0
한국화장품,"HANKOOK COSMETICS CO.,LTD.",123690,0
한국항공우주,"KOREA AEROSPACE INDUSTRIES, LTD.",047810,0
한국합섬,HANKOOK SYNTHETICS INC,025830,0
한국피아이엠,"PIM KOREA Co.,Ltd.",448900,0
한국팩키지,"HANKUK PACKAGE CO., LTD.",037230,0
한국파마,"KOREA PHARMA Co., Ltd.",032300,0
한국특강,"KOREA STEEL CO.,LTD",007280,0
한국투자패러랠유전해외자원개발특별자산투자회사1호(지분증권),KIM PARALLEL OILFIELD OVERSEAS RESOURCES DEVELOPMENT SPECIAL ASSET FUND [1](EQUI,168490,0
한국투자파트너스,"Korea Investment Partners Co.,Ltd.",019560,0
한국투자신성장1호기업인수목적회사,Korea Investment Securities SPAC No.1,123290,0
한국통신데이타,Korea Telecom Data Inc.,045760,0
한국토지신탁,"Korea Real Estate Investment & Trust Co., Ltd",034830,0
한국테크놀로지,HANKOOK Technology Inc.,053590,0
한국타이어앤테크놀로지,"HANKOOK TIRE & TECHNOLOGY CO.,LTD",161390,0
한국큐빅,CUBIC KOREA INC.,021650,0
한국콜마,"KOLMAR KOREA CO.,LTD",161890,0
한국컴퓨터,KOREA COMPUTER INC.,054040,0
