회사명,corp_eng_name,종목코드
한국특강,"KOREA STEEL CO.,LTD",007280
한국투자패러랠유전해외자원개발특별자산투자회사1호(지분증권),KIM PARALLEL OILFIELD OVERSEAS RESOURCES DEVELOPMENT SPECIAL ASSET FUND [1](EQUI,168490
한국투자파트너스,"Korea Investment Partners Co.,Ltd.",019560
한국투자신성장1호기업인수목적회사,Korea Investment Securities SPAC No.1,123290
한국통신데이타,Korea Telecom Data Inc.,045760
한국토지신탁,"Korea Real Estate Investment & Trust Co., Ltd",034830
한국테크놀로지,HANKOOK Technology Inc.,053590
한국타이어앤테크놀로지,"HANKOOK TIRE & TECHNOLOGY CO.,LTD",161390
한국큐빅,CUBIC KOREA INC.,021650
한국콜마,"KOLMAR KOREA CO.,LTD",161890
한국컴퓨터,KOREA COMPUTER INC.,054040
한국캐피탈,"Han Kook Capital Co., Ltd.",023760
한국카본,"HANKUK CARBON CO.,LTD",017960
한국첨단소재,"KOREA ADVANCED MATERIALS Co.,Ltd.",062970
한국철강,KISCO Corp.,104700
한국지주,Korea Holidings Incorporated,009760
한국주철관공업,"KOREA CASTIRON PIPE IND CO.,LTD",000970
한국주강,"HANKOOK STEEL CO.,LTD",025890
한국종합기술,Korea Engineering Consultants Corp.,023350
한국제지,"Hankuk Paper MFG. CO., LTD",027970
한국제지,"HANKUK PAPER MFG CO.,LTD",002300
한국제7호기업인수목적,"Korea No.7 Special Purpose Acquisition Co., LTD.",291210
한국제6호기업인수목적,"Korea No.6 Special Purpose Acquisition Co., LTD.",281410
한국제5호기업인수목적,"Korea No.5 Special Purpose Acquisition Company Co., LTD.",271740
한국제4호기업인수목적,"Korea No.4 Special Purpose Acquisition Co., LTD.",240540
한국제15호스팩,"Korea No.15 Special Purpose Acquisition Co., Ltd.",479880
한국제14호기업인수목적,"Korea No.14 Special Purpose Acquisition Co., Ltd.",477530
한국제13호스팩,"Korea No.13 Special Purpose Acquisition Co., LTD.",464440
한국제12호스팩,"Korea No.12 Special Purpose Acquisition Co., LTD.",458610
한국제11호기업인수목적,"Korea No.11 Special Purpose Acquisition Co., LTD.",436610
한국제10호기업인수목적,"Korea No.10 Special Purpose Acquisition Co., LTD.",409570
한국정보통신,KoreaInformation&Communication,025770
한국정보인증,"KOREA INFORMATION CERTIFICATE AUTHORITY, INCORPORATED",053300
한국정보공학,"Korea Information Engineering Services Co., Ltd",039740
한국정밀기계,"HNK MACHINE TOOL CO.,LTD.",101680
한국전자홀딩스,"KEC HOLDINGS CO.,LTD",006200
한국전자인증,KOREA ELECTRONIC CERTIFICATION AUTHORITY,041460
한국전력공사,KOREA ELECTRIC POWER CORPORATION,015760
한국전기초자,"HANKUK ELECTRIC GLASS CO.,LTD",009720
한국저축은행,KOREA SAVINGS BANK,025610
한국자산신탁,"KOREA ASSET IN TRUST Co., Ltd",123890
한국유니온제약,"UNION KOREA PHARM CO.,Ltd",080720
한국월드와이드아시아태평양특별자산1호투자회사,Korea World Wide Asia Pacific Special Assets Fund [1],098150
한국월드와이드베트남부동산개발특별자산1호투자회사,Vietnam Real Estate Development Fund1,096300
한국앤컴퍼니,"HANKOOK & COMPANY CO., LTD.",000240
한국애보트진단,Abbott Diagnostics Korea Inc.,066930
한국알콜,KoreaAlcoholIndustrial,017890
한국아트라스비엑스,"HANKOOK ATLASBX CO.,LTD.",023890
한국씨티은행,Citibank Korea Inc.,016830
한국스탠다드차타드은행,Standard Chartered Bank Korea Ltd,000110
한국쉘석유,"HANKOOK SHELL OIL CO.,LTD",002960
한국수출포장공업,"KOREA EXPORT PACKAGING INDUSTRIAL CO.,LTD",002200
한국선재,"HANKUK STEEL WIRE CO., LTD.",025550
한국석유공업,KOREA PETROLEUM INDUSTRIES COMPANY,004090
한국비티비,"BTB Korea Co.,Ltd",219750
한국비엔씨,"BNC Korea Co, Ltd",256840
한국비엔씨,BNC Korea Co. Ltd,226610
한국베트남15-1유전해외자원개발투자회사,Korea Vietnam15-1Oil Overseas Resources Development Fund,093820
한국미라클피플사,"KOREA MIRACLE PEOPLE COMPANY Co., Ltd.",331660
한국무브넥스,"KOREA MOVENEX CO., LTD.",010100
한국맥널티,"Mcnulty Korea Co., Ltd",222980
한국단자공업,"KOREA ELECTRIC TERMINAL CO.,LTD",025540
한국내화,"KOREA REFRACTORIES CO.,LTD",010040
한국기업평가,Korea Ratings Corporation,034950
한국기술산업,KoreaTechnology,008320
한국금융지주,"Korea Investment Holdings Co., Ltd",071050
한국공항,"KOREA AIRPORT SERVICE CO.,LTD",005430
한국고덴시,KODENSHIKOREA CORP,027840
한국경제TV,"The Korea Economic Broadcasting CO.,LTD.",039340
한국가스공사,KoreaGasCorporation,036460
한국가구,KoreaFurniture,004590
한국ANKOR유전,KIM ANKOR Oilfield Overseas Resources Development Special Asset Fund [1](Equity),152550
한강구조조정기금,HANKANG RESTRUCTURING FUND,036060
하츠,HAATZ Inc.,066130
하이퍼코퍼레이션,Hyper Corporation Inc.,065650
하이트진로홀딩스,"HITEJINRO HOLDINGS CO., LTD",000140
하이트진로,HITE JINRO,000080
하이트맥주,"HITE BREWERY CO., LTD.",103150
하이텍팜,"HIGH TECH PHARM CO.,LTD.",106190
하이콤정보통신,Hycom Data Communications Inc.,048540
하이즈항공,"HIZEAERO Co.,Ltd.",221840
하이젠알앤엠,"HIGEN RNM CO., LTD",160190
하이제8호스팩,HI Special Purpose Acquisition Company Ⅷ,450050
하이제7호기업인수목적,HI Special Purpose Acquisition Company VII,400840
하이제6호기업인수목적,HI Special Purpose Acquisition Company VI,377400
하이제5호기업인수목적,HI Special Purpose Acquisitoin Company V,340120
하이에이아이1호기업인수목적,HI AI 1ST Special Purpose Acquisition Company,235010
하이스틸,"HISTEEL CO., LTD",071090
하이스마텍,"HiSmarTech Co., Ltd.",057100
하이비젼시스템,HyVISION SYSTEM.INC,126700
하이브,"HYBE Co., Ltd.",352820
하이록코리아,HY-LOK CORPORATION,013030
하이로닉,"Hironic Co.,Ltd",149980
하이럭스,"HILUX CO., LTD.",079340
하이딥,HiDeep Inc.,365590
하이드로리튬,Hydro Lithium Inc,101670
하이골드오션8호국제선박투자회사,HI GOLD OCEAN KMARIN NO.8 SHIP INVESTMENT COMPANY,159650
하이골드오션3호선박투자회사,Hi Gold Ocean No.3 Ship Investment Company,153360
하이골드오션2호선박투자회사,"HI GOLD OCEAN NO.2 SHIP INVESTMENT CO., LTD.",139200
하이골드오션12호국제선박투자회사,HI GOLD OCEAN KMARIN NO.12 SHIP INVESTMENT COMPANY,172580
하우리,HAURI Inc.,049130
하스코,"HASCO.CO.,LTD",012760
하스,HASS Corp.,450330
하림홀딩스,"HARIM HOLDINGS CO.,LTD.",024660
하림지주,"Harim Holdings Co., Ltd.",003380
하림,"HARIM Co., Ltd.",136480
하나투어,HANATOUR SERVICE INC.,039130
하나제약,"Hana Pharm. Co., Ltd.",293480
하나은행,KEB Hana Bank,004940
하나은행,Hana Bank,002860
하나유비에스암바토비니켈해외자원개발2호,HANA UBS AMBATOVY NICKEL OVERSEAS 2,099350
하나유비에스암바토비니켈해외자원개발1호,HANA UBS AMBATOVY NICKEL OVERSEAS 1,099340
하나머티리얼즈,Hana Materials Inc.,166090
하나머스트제6호기업인수목적,Hana Must Sixth Special Purpose Acquisition Company,307160
하나머스트7호기업인수목적,Hana Must Seven Special Purpose Acquisition Company,372290
하나머스트3호기업인수목적,Hana Must Third Special Purpose Acquisition Company,208870
하나마이크론,HanaMicronInc.,067310
하나기술,"HANA TECHNOLOGY CO.,LTD.",299030
하나금융지주,Hana Financial Group Inc.,086790
하나금융25호기업인수목적,Hana Financial Twenty-five SPAC,435620
하나금융24호기업인수목적,Hana Financial Twenty-four SPAC,430230
하나금융23호기업인수목적,Hana Financial Twenty-three SPAC,427950
하나금융22호기업인수목적,Hana Financial Twenty-two SPAC,418170
하나금융21호기업인수목적,Hana Financial Twenty-one SPAC,406760
